,customer_id
0,833
1,7993
2,17420
3,18866
4,26583
5,28170
6,35912
7,38723
8,40515
9,42373
10,44437
11,57039
12,57380
13,63271
14,65220
15,72758
16,88666
17,88674
18,92317
19,93407
20,96853
21,107032
22,108221
23,110081
24,114206
25,115528
26,136631
27,149761
28,150604
29,154202
30,160264
31,172616
32,187525
33,193166
34,197258
35,206378
36,222730
37,266215
38,267567
39,268695
40,270553
41,277084
42,281740
43,286824
44,302124
45,302550
46,310296
47,320015
48,325894
49,327642
50,347053
51,381626
52,399757
53,400301
54,409244
55,416894
56,417197
57,417706
58,421052
59,432399
60,441665
61,444773
62,455851
63,456851
64,461506
65,471235
66,472859
67,475638
68,497518
69,504537
70,507519
71,515751
72,518254
73,525571
74,535839
75,542239
76,542938
77,547085
78,564376
79,564996
80,568778
81,587661
82,588517
83,607159
84,615091
85,622371
86,625900
87,638783
88,655375
89,661031
90,664901
91,681118
92,682845
93,683541
94,686611
95,696963
96,707537
97,715247
98,715451
99,716707
100,717738
101,718541
102,721303
103,756382
104,757674
105,778435
106,784204
107,803978
108,807160
109,817122
110,830635
111,837975
112,866797
113,876843
114,889092
115,899582
116,902709
117,913794
118,915222
119,930298
120,934996
121,945907
122,949031
123,952471
124,957776
125,968930
126,973350
127,992623
128,1007972
129,1013410
130,1033664
131,1049740
132,1054944
133,1055946
134,1057686
135,1063244
136,1065843
137,1076703
138,1079669
139,1097129
140,1100260
141,1102524
142,1122513
143,1136547
144,1140761
145,1144477
146,1166854
147,1179415
148,1180318
149,1193606
150,1216484
151,1222766
152,1224782
153,1228414
154,1239654
155,1242718
156,1244289
157,1285025
158,1295367
159,1307545
160,1309813
161,1310376
162,1314516
163,1322771
164,1335560
165,1342122
166,1346305
167,1350612
168,1362475
169,1370422
170,1370936
171,1392570
172,1405620
173,1405745
174,1423663
175,1426962
176,1431084
177,1438673
178,1439376
179,1452052
180,1483915
181,1503383
182,1510446
183,1513956
184,1550135
185,1555872
186,1560262
187,1564379
188,1568185
189,1578286
190,1590058
191,1601926
192,1610606
193,1611877
